年	号数	掲載順	タイトル	作者	原作者	頁	区分	カラー	備考
2022 	01	1	僕のヒーローアカデミア	堀越耕平		4	連載	C	
2022 	01	2	SAKAMOTO DAYS	鈴木祐斗		47	連載		
2022 	01	3	ONE PIECE	尾田栄一郎		67	連載		
2022 	01	4	逃げ上手の若君	松井優征		85	連載		
2022 	01	5	呪術廻戦	芥見下々		105	連載		
2022 	01	6	ドロンドロロン	大須賀玄		125	連載	C	
2022 	01	7	僕とロボコ	宮崎周平		151	連載		
2022 	01	8	アヤシモン	賀来ゆうじ		167	連載		
2022 	01	9	アンデッドアンラック	戸塚慶文		191	連載	C	
2022 	01	10	守れ！しゅごまる	伊原大貴		215	連載		
2022 	01	11	Dr.STONE	Boich	稲垣理一郎	237	連載		
2022 	01	12	破壊神マグちゃん	上木敬		273	連載	C	
2022 	01	13	アオのハコ	三浦糀		297	連載		
2022 	01	14	夜桜さんちの大作戦	権平ひつじ		319	連載		
2022 	01	15	ウィッチウォッチ	篠原健太		339	連載		
2022 	01	16	マッシュル-MASHLE-	甲本一		361	連載		
2022 	01	17	高校生家族	仲間りょう		383	連載		
2022 	01	18	竜と檻人	紅木春		403	読み切り		
2022 	01	19	PPPPPP	マボロ3号		419	連載		
2022 	01	20	あやかしトライアングル	矢吹健太郎		439	連載		
2022 	02	1	呪術廻戦	芥見下々		3	連載	C	
2022 	02	2	呪術廻戦 特別編	芥見下々		45	連載		
2022 	02	3	僕のヒーローアカデミア	堀越耕平		57	連載		
2022 	02	4	逃げ上手の若君	松井優征		75	連載		
2022 	02	5	Dr.STONE	Boich	稲垣理一郎	95	連載		
2022 	02	6	SAKAMOTO DAYS	鈴木祐斗		115	連載		
2022 	02	7	守れ！しゅごまる	伊原大貴		135	連載		
2022 	02	8	夜桜さんちの大作戦	権平ひつじ		153	連載	C	
2022 	02	9	アヤシモン	賀来ゆうじ		177	連載		
2022 	02	10	アオのハコ	三浦糀		197	連載		
2022 	02	11	地獄のカンダダ	吉田B6		219	読み切り	C	
2022 	02	12	僕とロボコ	宮崎周平		267	連載		
2022 	02	13	ドロンドロロン	大須賀玄		285	連載		
2022 	02	14	マッシュル-MASHLE-	甲本一		325	連載	C	
2022 	02	15	ウィッチウォッチ	篠原健太		347	連載		
2022 	02	16	ブラッククローバー	田畠裕基		367	連載		
2022 	02	17	高校生家族	仲間りょう		385	連載		
2022 	02	18	アンデッドアンラック	戸塚慶文		401	連載		
2022 	02	19	あやかしトライアングル	矢吹健太郎		423	連載		
2022 	02	20	破壊神マグちゃん	上木敬		443	連載		
2022 	02	21	PPPPPP	マボロ3号		463	連載		
2022 	03-04	1	呪術廻戦	芥見下々		3	連載	C	
2022 	03-04	2	ONE PIECE	尾田栄一郎		45	連載		
2022 	03-04	3	僕のヒーローアカデミア	堀越耕平		63	連載		
2022 	03-04	4	アオのハコ	三浦糀		81	連載		
2022 	03-04	5	ウィッチウォッチ	藤巻忠俊		101	連載		
2022 	03-04	6	Dr.STONE	Boich	稲垣理一郎	121	連載	C	
2022 	03-04	7	アヤシモン	賀来ゆうじ		143	連載		
2022 	03-04	8	高校生家族	仲間りょう		163	連載		
2022 	03-04	9	ドロンドロロン	大須賀玄		179	連載		
2022 	03-04	10	逃げ上手の若君	松井優征		199	連載		
2022 	03-04	11	キルアオハル	藤巻忠俊		235	読み切り	C	
2022 	03-04	12	守れ！しゅごまる	伊原大貴		287	連載		
2022 	03-04	13	夜桜さんちの大作戦	権平ひつじ		305	連載		
2022 	03-04	14	僕とロボコ	宮崎周平		327	連載		
2022 	03-04	15	マッシュル-MASHLE-	甲本一		343	連載		
2022 	03-04	16	SAKAMOTO DAYS	鈴木祐斗		365	連載	C	
2022 	03-04	17	あやかしトライアングル	矢吹健太郎		387	連載		
2022 	03-04	18	ブラッククローバー	田畠裕基		407	連載		
2022 	03-04	19	アンデッドアンラック	戸塚慶文		429	連載		
2022 	03-04	20	PPPPPP	マボロ3号		449	連載		
2022 	03-04	21	破壊神マグちゃん	上木敬		469	連載		
2022 	05-06	1	ONE PIECE	尾田栄一郎		4	連載	C	
2022 	05-06	2	SAKAMOTO DAYS	鈴木祐斗		47	連載		
2022 	05-06	3	僕のヒーローアカデミア	堀越耕平		67	連載		
2022 	05-06	4	ウィッチウォッチ	藤巻忠俊		85	連載		
2022 	05-06	5	呪術廻戦	芥見下々		105	連載		
2022 	05-06	6	アオのハコ	三浦糀		141	連載	C	
