ID	掲載号	掲載順	タイトル	作者	原作	ページ	種別	カラー	摘要
WSMG202401	2024年 No.01	1	ブルーロック	ノ村優介		4	連載	C	 
WSMG202401	2024年 No.01	2	彼女、お借りします	宮島礼吏		31	連載		 
WSMG202401	2024年 No.01	3	青のミブロ	安田剛士		51	連載		 
WSMG202401	2024年 No.01	4	甘神さんちの縁結び	内藤マーシー		73	連載	C	 
WSMG202401	2024年 No.01	5	EDENS ZERO	真島ヒロ		95	連載		 
WSMG202401	2024年 No.01	6	生徒会にも穴はある！	むちまろ		115	連載		 
WSMG202401	2024年 No.01	7	もののけの乱	竹田陽介		123	連載	C	 
WSMG202401	2024年 No.01	8	赤羽骨子のボディガード	丹月正光		145	連載		 
WSMG202401	2024年 No.01	9	黙示録の四騎士	鈴木央		165	連載		 
WSMG202401	2024年 No.01	10	真夜中ハートチューン	五十嵐正邦		185	連載		 
WSMG202401	2024年 No.01	11	獣心のカタナ	上条明峰		205	連載		 
WSMG202401	2024年 No.01	12	カナンさまはあくまでチョロい	nonco		225	連載		 
WSMG202401	2024年 No.01	13	女神のカフェテラス	瀬尾公治		233	連載		 
WSMG202401	2024年 No.01	14	ゼロとヒャク	江戸翔一郎		253	読み切り		 
WSMG202401	2024年 No.01	15	黒岩メダカに私の可愛いが通じない	久世蘭		285	連載		 
WSMG202401	2024年 No.01	16	シャングリラ・フロンティア	不二涼介		299	連載		 
WSMG202401	2024年 No.01	17	将棋の渡辺くん	伊奈めぐみ		317	出張掲載		 別冊少年マガジンより
WSMG202401	2024年 No.01	18	カッコウの許嫁	吉河美希		337	連載		 
WSMG202401	2024年 No.01	19	BRAVE BELL	小金		357	連載		 
WSMG202401	2024年 No.01	20	KIMURAxCLASS	土井那羽		377	連載		 
WSMG202401	2024年 No.01	21	不滅のあなたへ	大今良時		397	連載		 
WSMG202401	2024年 No.01	22	辺境の薬師、都でSランク冒険者となる	kakao		411	出張掲載		 マガポケより
WSMG202402-03	2024年 No.02・03合併号	1	女神のカフェテラス	瀬尾公治		4	連載	C	 
WSMG202402-03	2024年 No.02・03合併号	2	EDENS ZERO	真島ヒロ		25	連載		 
WSMG202402-03	2024年 No.02・03合併号	3	生徒会にも穴はある！	むちまろ		45	連載		 
WSMG202402-03	2024年 No.02・03合併号	4	戦隊大失格	春場ねぎ		53	連載		 
WSMG202402-03	2024年 No.02・03合併号	5	真夜中ハートチューン	五十嵐正邦		71	連載	C	 
WSMG202402-03	2024年 No.02・03合併号	6	ブルーロック	ノ村優介		95	連載		 
WSMG202402-03	2024年 No.02・03合併号	7	彼女、お借りします	宮島礼吏		115	連載		 
WSMG202402-03	2024年 No.02・03合併号	8	カナンさまはあくまでチョロい	nonco		137	連載	C	 
WSMG202402-03	2024年 No.02・03合併号	9	黙示録の四騎士	鈴木央		153	連載		 
WSMG202402-03	2024年 No.02・03合併号	10	カッコウの許嫁	吉河美希		173	連載		 
WSMG202402-03	2024年 No.02・03合併号	11	赤羽骨子のボディガード	丹月正光		193	連載		 
WSMG202402-03	2024年 No.02・03合併号	12	シャングリラ・フロンティア	不二涼介		213	連載		 
WSMG202402-03	2024年 No.02・03合併号	13	青のミブロ	安田剛士		233	連載		 
WSMG202402-03	2024年 No.02・03合併号	14	黒岩メダカに私の可愛いが通じない	久世蘭		253	連載		 
WSMG202402-03	2024年 No.02・03合併号	15	もののけの乱	竹田陽介		267	連載	C	 
WSMG202402-03	2024年 No.02・03合併号	16	獣心のカタナ	上条明峰		289	連載		 
