年	号数	掲載順	タイトル	作者	原作者	頁	区分	カラー	備考
2022 	01	1	ガクサン	佐原実波		3	連載	C	新連載
2022 	01	2	GIANT KILLING	ツジトモ		43	連載		
2022 	01	3	ハコヅメ〜交番女子の逆襲〜	泰三子		63	連載		
2022 	01	4	吉原プラトニック	オキモト・シュウ	藤川よつ葉	80	連載		
2022 	01	5	昭和のグラゼニ	川	森高夕次	99	連載		
2022 	01	6	艦隊のシェフ	萩原玲二	池田邦彦	121	連載		
2022 	01	7	リエゾン〜こどものこころ診療所〜	ヨンチャン	竹村優作	145	連載		
2022 	01	8	相談役 島耕作	弘兼憲史		165	連載		
2022 	01	9	バトルスタディーズ	なきぼくろ		181	連載		
2022 	01	10	上京生活録イチジョウ	三好智樹・瀬戸義明	萩原天晴	199	連載		
2022 	01	11	焼いてるふたり	ハナツカシオリ		217	連載		
2022 	01	12	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	233	連載		
2022 	01	13	ボールパークでつかまえて！	須賀達郎		253	連載		
2022 	01	14	とりぱん	とりのなん子		265	連載		
2022 	01	15	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	269	連載		
2022 	01	16	この会社に好きな人がいます	榎本あかまる		293	連載		
2022 	01	17	ワールドイズダンシング	三原和人		307	連載		
2022 	01	18	僕の奥さんはちょっと怖い	栗田あぐり		326	出張掲載		
2022 	01	19	そのモガリは熱を知らない	NICOMICHIHIRO		347	連載		
2022 	01	20	惑わない星	石川雅之		369	連載		
2022 	01	21	猫奥	山村東		387	連載		
2022 	01	22	クッキングパパ	うえやまとち		395	連載		
2022 	01	23	楽屋のトナくん	矢部太郎		413	連載		
2022 	02-03	1	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	3	連載	C	
2022 	02-03	2	GIANT KILLING	ツジトモ		23	連載		
2022 	02-03	3	ガクサン	佐原実波		43	連載		
2022 	02-03	4	ハコヅメ〜交番女子の逆襲〜	泰三子		75	連載		
2022 	02-03	5	吉原プラトニック	オキモト・シュウ	藤川よつ葉	91	連載		
2022 	02-03	6	リエゾン〜こどものこころ診療所〜	ヨンチャン	竹村優作	111	連載		
2022 	02-03	7	定額制夫の「こづかい万歳」〜月額2万千円の金欠ライフ〜	吉本浩二		131	連載		
2022 	02-03	8	出禁のモグラ	江口夏美		151	連載		
2022 	02-03	9	ボールパークでつかまえて！	須賀達郎		167	連載		
2022 	02-03	10	この会社に好きな人がいます	榎本あかまる		179	連載		
2022 	02-03	11	バトルスタディーズ	なきぼくろ		191	連載		
2022 	02-03	12	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	209	連載		
2022 	02-03	13	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	233	連載		
2022 	02-03	14	とりぱん	とりのなん子		253	連載		
2022 	02-03	15	インビジブル	瀬下猛		257	連載		
2022 	02-03	16	ワールドイズダンシング	三原和人		277	連載		
2022 	02-03	17	きりもやびより	みずしな孝之		296	出張		イブニング
2022 	02-03	18	ダーウィンクラブ	朱戸アオ		313	連載		
2022 	02-03	19	鑑定眼 もっとも高価な死に方	後藤悠太	楠本寛樹	333	連載		
2022 	02-03	20	猫奥	山村東		355	連載		
2022 	02-03	21	ツイステッド・シスターズ	山下和美		361	連載		
2022 	02-03	22	クッキングパパ	うえやまとち		377	連載		
2022 	02-03	23	楽屋のトナくん	矢部太郎		395	連載		
2022 	04-05	1	焼いてるふたり	ハナツカシオリ		3	連載	C	
2022 	04-05	2	GIANT KILLING	ツジトモ		23	連載		
2022 	04-05	3	ガクサン	佐原実波		43	連載		
2022 	04-05	4	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	63	連載		
2022 	04-05	5	吉原プラトニック	オキモト・シュウ	藤川よつ葉	83	連載		
2022 	04-05	6	ハコヅメ〜交番女子の逆襲〜	泰三子		103	連載		
2022 	04-05	7	ツイステッド・シスターズ	山下和美		121	連載		
2022 	04-05	8	艦隊のシェフ	萩原玲二	池田邦彦	135	連載		
2022 	04-05	9	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	159	連載		
2022 	04-05	10	ワールドイズダンシング	三原和人		179	連載		
2022 	04-05	11	ボールパークでつかまえて！	須賀達郎		197	連載		
2022 	04-05	12	相談役 島耕作	弘兼憲史		209	連載		
2022 	04-05	13	バトルスタディーズ	なきぼくろ		225	連載		
2022 	04-05	14	とりぱん	とりのなん子		243	連載		
2022 	04-05	15	そのモガリは熱を知らない	NICOMICHIHIRO		249	連載		
2022 	04-05	16	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	269	連載		
2022 	04-05	17	リエゾン〜こどものこころ診療所〜	ヨンチャン	竹村優作	293	連載		
2022 	04-05	18	上京生活録イチジョウ	三好智樹・瀬戸義明	萩原天晴	313	連載		
2022 	04-05	19	インビジブル	瀬下猛		333	連載		
2022 	04-05	20	猫奥	山村東		353	連載		
2022 	04-05	21	鑑定眼 もっとも高価な死に方	後藤悠太	楠本寛樹	361	連載		
2022 	04-05	22	BATMAN JUSTICE BUSTER	清水栄一・下口知裕		381	連載		
2022 	04-05	23	クッキングパパ	うえやまとち		409	連載		
2022 	04-05	24	楽屋のトナくん	矢部太郎		427	連載		
2022 	06	1	楽屋のトナくん	矢部太郎		3	連載	C	
2022 	06	2	宇宙兄弟	小山宙哉		11	連載		
2022 	06	3	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	31	連載		
2022 	06	4	艦隊のシェフ	萩原玲二	池田邦彦	51	連載		
2022 	06	5	ガクサン	佐原実波		75	連載		
2022 	06	6	インビジブル	瀬下猛		91	連載		
2022 	06	7	とりぱん	とりのなん子		111	連載		
2022 	06	8	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	115	連載		
2022 	06	9	鑑定眼 もっとも高価な死に方	後藤悠太	楠本寛樹	137	連載		
2022 	06	10	ハコヅメ〜交番女子の逆襲〜	泰三子		157	連載		
2022 	06	11	この会社に好きな人がいます	榎本あかまる		173	連載		
2022 	06	12	リエゾン〜こどものこころ診療所〜	ヨンチャン	竹村優作	185	連載		
2022 	06	13	ボールパークでつかまえて！	須賀達郎		205	連載		
2022 	06	14	きのう何食べた？	よしながふみ		217	連載		
2022 	06	15	バトルスタディーズ	なきぼくろ		233	連載		
2022 	06	16	出禁のモグラ	江口夏美		251	連載		
2022 	06	17	焼いてるふたり	ハナツカシオリ		267	連載		
2022 	06	18	ダーウィンクラブ	朱戸アオ		283	連載		
2022 	06	19	そのモガリは熱を知らない	NICOMICHIHIRO		301	連載		
2022 	06	20	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	321	連載		
2022 	06	21	きみの夏休み	春野ユキト		353	読み切り		第80回ちばてつや賞大賞
2022 	06	22	クッキングパパ	うえやまとち		397	連載		
2022 	07	1	鉄血キュッヘェ	中島三千恒		3	連載	C	新連載
2022 	07	2	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	35	連載		
2022 	07	3	ハコヅメ〜交番女子の逆襲〜	泰三子		55	連載		
2022 	07	4	吉原プラトニック	オキモト・シュウ	藤川よつ葉	71	連載		
2022 	07	5	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	91	連載		
2022 	07	6	焼いてるふたり	ハナツカシオリ		111	連載		
2022 	07	7	上京生活録イチジョウ	三好智樹・瀬戸義明	萩原天晴	127	連載		
2022 	07	8	ボールパークでつかまえて！	須賀達郎		145	連載		
2022 	07	9	リエゾン〜こどものこころ診療所〜	ヨンチャン	竹村優作	157	連載		
2022 	07	10	とりぱん	とりのなん子		177	連載		
2022 	07	11	バトルスタディーズ	なきぼくろ		181	連載		
2022 	07	12	相談役 島耕作	弘兼憲史		199	連載		
2022 	07	13	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	215	連載	C	
2022 	07	14	この会社に好きな人がいます	榎本あかまる		241	連載		
2022 	07	15	インビジブル	瀬下猛		253	連載		
2022 	07	16	ガクサン	佐原実波		273	連載		
2022 	07	17	鑑定眼 もっとも高価な死に方	後藤悠太	楠本寛樹	291	連載		
2022 	07	18	ワールドイズダンシング	三原和人		311	連載		
2022 	07	19	そのモガリは熱を知らない	NICOMICHIHIRO		329	連載		
2022 	07	20	ダーウィンクラブ	朱戸アオ		349	連載		
2022 	07	21	惑わない星	石川雅之		367	連載		
2022 	07	22	OH!MYコンブ ミドル	かみやたかひろ		383	連載		
2022 	07	23	ツイステッド・シスターズ	山下和美		401	連載		
2022 	07	24	猫奥	山村東		415	連載		
2022 	08	1	クッキングパパ	うえやまとち		3	連載		
2022 	08	2	宇宙兄弟	小山宙哉		25	連載		
2022 	08	3	ハコヅメ〜交番女子の逆襲〜	泰三子		45	連載		
2022 	08	4	リエゾン〜こどものこころ診療所〜	ヨンチャン	竹村優作	61	連載		
2022 	08	5	ガクサン	佐原実波		81	連載		
2022 	08	6	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	97	連載		
2022 	08	7	そのモガリは熱を知らない	NICOMICHIHIRO		117	連載		
2022 	08	8	バトルスタディーズ	なきぼくろ		137	連載		
2022 	08	9	この会社に好きな人がいます	榎本あかまる		155	連載		
2022 	08	10	ワールドイズダンシング	三原和人		168	連載	C	
2022 	08	11	ワンオペ JOKER	後藤慶介	宮川サトシ	187	連載		
2022 	08	12	鉄血キュッヘェ	中島三千恒		209	連載		
2022 	08	13	とりぱん	とりのなん子		245	連載		
2022 	08	14	出禁のモグラ	江口夏美		249	連載		
2022 	08	15	焼いてるふたり	ハナツカシオリ		265	連載		
2022 	08	16	ボールパークでつかまえて！	須賀達郎		281	連載		
2022 	08	17	鑑定眼 もっとも高価な死に方	後藤悠太	楠本寛樹	295	連載		
2022 	08	18	インビジブル	瀬下猛		315	連載		
2022 	08	19	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	337	連載		
2022 	08	20	BATMAN JUSTICE BUSTER	清水栄一・下口知裕		363	連載		
2022 	08	21	猫奥	山村東		389	連載		
2022 	09	1	艦隊のシェフ	萩原玲二	池田邦彦	3	連載		
2022 	09	2	GIANT KILLING	ツジトモ		31	連載		
2022 	09	3	ハコヅメ〜交番女子の逆襲〜	泰三子		51	連載		
2022 	09	4	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	67	連載		
2022 	09	5	焼いてるふたり	ハナツカシオリ		87	連載		
2022 	09	6	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	105	連載		
2022 	09	7	ボールパークでつかまえて！	須賀達郎		125	連載		
2022 	09	8	吉原プラトニック	オキモト・シュウ	藤川よつ葉	137	連載		
2022 	09	9	上京生活録イチジョウ	三好智樹・瀬戸義明	萩原天晴	157	連載		
2022 	09	10	そのモガリは熱を知らない	NICOMICHIHIRO		175	連載		
2022 	09	11	とりぱん	とりのなん子		195	連載		
2022 	09	12	バトルスタディーズ	なきぼくろ		199	連載		
2022 	09	13	定額制夫の「こづかい万歳」〜月額2万千円の金欠ライフ〜	吉本浩二		217	連載		
2022 	09	14	相談役 島耕作	弘兼憲史		237	連載		
2022 	09	15	この会社に好きな人がいます	榎本あかまる		253	連載		
2022 	09	16	ダーウィンクラブ	朱戸アオ		265	連載		
2022 	09	17	きのう何食べた？	よしながふみ		283	連載		
2022 	09	18	ガクサン	佐原実波		299	連載		
2022 	09	19	鑑定眼 もっとも高価な死に方	後藤悠太	楠本寛樹	315	連載		
2022 	09	20	ワールドイズダンシング	三原和人		335	連載		
2022 	09	21	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	353	連載		
2022 	09	22	ツイステッド・シスターズ	山下和美		377	連載		
2022 	09	23	クッキングパパ	うえやまとち		391	連載		
2022 	09	24	楽屋のトナくん	矢部太郎		409	連載		
2022 	10	1	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	3	連載		
2022 	10	2	ハコヅメ〜交番女子の逆襲〜	泰三子		27	連載		
2022 	10	3	艦隊のシェフ	萩原玲二	池田邦彦	43	連載		
2022 	10	4	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	71	連載		
2022 	10	5	ボールパークでつかまえて！	須賀達郎		91	連載		
2022 	10	6	出禁のモグラ	江口夏美		103	連載		
2022 	10	7	矢野くんの普通の日々	田村結衣		119	出張掲載		
2022 	10	8	バトルスタディーズ	なきぼくろ		153	連載		
2022 	10	9	とりぱん	とりのなん子		173	連載		
2022 	10	10	インビジブル	瀬下猛		177	連載		
2022 	10	11	リエゾン〜こどものこころ診療所〜	ヨンチャン	竹村優作	197	連載		
2022 	10	12	吉原プラトニック	オキモト・シュウ	藤川よつ葉	217	連載		
2022 	10	13	この会社に好きな人がいます	榎本あかまる		237	連載		
2022 	10	14	ワールドイズダンシング	三原和人		249	連載		
2022 	10	15	そのモガリは熱を知らない	NICOMICHIHIRO		267	連載		
2022 	10	16	僕の奥さんはちょっと怖い	栗田あぐり		287	出張掲載		
2022 	10	17	猫奥	山村東		303	連載		
2022 	10	18	ダーウィンクラブ	朱戸アオ		309	連載		
2022 	10	19	鑑定眼 もっとも高価な死に方	後藤悠太	楠本寛樹	327	連載		
2022 	10	20	ツイステッド・シスターズ	山下和美		347	連載		
2022 	10	21	惑わない星	石川雅之		361	連載		
2022 	10	22	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	377	連載		
2022 	10	23	クッキングパパ	うえやまとち		399	連載		
2022 	11	1	ガクサン	佐原実波		3	連載	C	
2022 	11	2	GIANT KILLING	ツジトモ		29	連載		
2022 	11	3	ハコヅメ〜交番女子の逆襲〜	泰三子		39	連載		
2022 	11	4	定額制夫の「こづかい万歳」〜月額2万千円の金欠ライフ〜	吉本浩二		57	連載		
2022 	11	5	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	77	連載		
2022 	11	6	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	97	連載		
2022 	11	7	上京生活録イチジョウ	三好智樹・瀬戸義明	萩原天晴	117	連載		
2022 	11	8	リエゾン〜こどものこころ診療所〜	ヨンチャン	竹村優作	137	連載		
2022 	11	9	焼いてるふたり	ハナツカシオリ		157	連載		
2022 	11	10	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	173	連載		
2022 	11	11	バトルスタディーズ	なきぼくろ		199	連載		
2022 	11	12	インビジブル	瀬下猛		217	連載		
2022 	11	13	相談役 島耕作	弘兼憲史		237	連載		
