年	号数	掲載順 	タイトル	作者	原作者	頁	区分	カラー	備考
2023	01	1	上京生活録イチジョウ	三好智樹・瀬戸義明	萩原天晴	3	連載	C	
2023	01	2	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	25	連載		
2023	01	3	焼いてるふたり	ハナツカシオリ		45	連載		
2023	01	4	聖☆おにいさん	中村光		61	出張掲載		
2023	01	5	ジドリの女王～氏家真知子最後の取材～	トウテムポール		73	連載		
2023	01	6	テレワァク与太話	山田金鉄		93	連載		
2023	01	7	18=80	岩淵竜子		103	連載		
2023	01	8	帰らないおじさん	西村マリコ		119	出張掲載		
2023	01	9	社外取締役 島耕作	弘兼憲史		125	連載		
2023	01	10	マタギガンナー	Juan Albarran	藤本正二	141	連載		
2023	01	11	バトルスタディーズ	なきぼくろ		161	連載		
2023	01	12	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	181	連載		
2023	01	13	とりぱん	とりのなん子		201	連載		
2023	01	14	リバーベッド	青井ぬゐ	磯部涼	205	連載		
2023	01	15	踊れ獅子堂賢	常喜寝太郎		223	連載		
2023	01	16	シクジリンガーの猫	てらおか現象		241	連載		
2023	01	17	この会社に好きな人がいます	榎本あかまる		251	連載		
2023	01	18	黒博物館 三日月よ、怪物と踊れ	藤田和日郎		265	連載		
2023	01	19	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	283	連載		
2023	01	20	今日もベランダで	糸川一成		305	連載		
2023	01	21	惑わない星	石川雅之		319	連載		
2023	01	22	ボールパークでつかまえて！	須賀達郎		335	連載		
2023	01	23	矢野くんの普通の日々	田村結衣		347	出張掲載		
2023	01	24	艦隊のシェフ	萩原玲二	池田邦彦	369	連載		
2023	01	25	いきものがたり	松本ひで吉		393	出張掲載		
2023	01	26	高田教授の脱出	エドモンド田中		397	連載		
2023	01	27	夢てふものは頼みそめてき	灰田高鴻		409	連載		
2023	01	28	猫奥	山村東		427	連載		
2023	02-03	1	イクサガミ	立沢克美	今村翔吾	3	連載	C	新連載
2023	02-03	2	宇宙兄弟	小山宙哉		49	連載		
2023	02-03	3	平和の国の島崎へ	瀬下猛	濱田轟天	71	連載		
2023	02-03	4	踊れ獅子堂賢	常喜寝太郎		89	連載		
2023	02-03	5	リバーベッド	青井ぬゐ	磯部涼	107	連載		
2023	02-03	6	出禁のモグラ	江口夏美		127	連載		
2023	02-03	7	マタギガンナー	Juan Albarran	藤本正二	143	連載		
2023	02-03	8	この会社に好きな人がいます	榎本あかまる		163	連載		
2023	02-03	9	夢てふものは頼みそめてき Daydream Believers	灰田高鴻		175	連載		
2023	02-03	10	バトルスタディーズ	なきぼくろ		197	連載		
2023	02-03	11	とりぱん	とりのなん子		215	連載		
2023	02-03	12	ボールパークでつかまえて！	須賀達郎		219	連載		
2023	02-03	13	ジドリの女王～氏家真知子最後の取材～	トウテムポール		232	連載	C	
2023	02-03	14	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	253	連載		
2023	02-03	15	今日もベランダで	糸川一成		275	連載		
2023	02-03	16	吉原プラトニック	オキモト・シュウ	藤川よつ葉	289	連載		
2023	02-03	17	シクジリンガーの猫	てらおか現象		309	連載		
2023	02-03	18	18=80	岩淵竜子		319	連載		
2023	02-03	19	猫奥	山村東		333	連載		
2023	02-03	20	ツイステッド・シスターズ	山下和美		341	連載		
2023	02-03	21	BATMAN JUSTICE BUSTER	清水栄一・下口知裕		357	連載		
2023	02-03	22	クッキングパパ	うえやまとち		387	連載		
2023	02-03	23	楽屋のトナくん	矢部太郎		405	連載		
2023	04-05	1	マタギガンナー	Juan Albarran	藤本正二	3	連載	C	
2023	04-05	2	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	27	連載		
