ID	掲載号	掲載順	タイトル	作者	原作	ページ	種別	カラー	摘要
WMRG202401	2024年 No.01	1	出禁のモグラ	江口夏美		7	連載		 
WMRG202401	2024年 No.01	2	宇宙兄弟	小山宙哉		27	連載		 
WMRG202401	2024年 No.01	3	GIANT KILLING	ツジトモ		47	連載		 
WMRG202401	2024年 No.01	4	平和の国の島崎へ	瀬下猛		69	連載		 
WMRG202401	2024年 No.01	5	アンメット—ある脳外科医の日記—	大月閑人		87	連載		 
WMRG202401	2024年 No.01	6	逢いたくて島耕作	諏訪符馬		107	連載		 
WMRG202401	2024年 No.01	7	グラゼニ〜大リーグ編〜	足立金太郎		125	連載		 
WMRG202401	2024年 No.01	8	今日もベランダで	糸川一成		145	連載		 
WMRG202401	2024年 No.01	9	マタギガンナー	Juan Albarran		159	連載		 
WMRG202401	2024年 No.01	10	望郷太郎	山田芳裕		179	連載		 
WMRG202401	2024年 No.01	11	とりぱん	とりのなん子		199	連載		 
WMRG202401	2024年 No.01	12	リエゾン〜こどものこころ診療所〜	ヨンチャン		203	連載		 
WMRG202401	2024年 No.01	13	バトルスタディーズ	なきぼくろ		223	連載		 
WMRG202401	2024年 No.01	14	8月31日のロングサマー	伊藤一角		241	連載		 
WMRG202401	2024年 No.01	15	ボールパークでつかまえて！	須賀達郎		261	連載		 
WMRG202401	2024年 No.01	16	踊れ獅子堂賢	常喜寝太郎		273	連載		 
WMRG202401	2024年 No.01	17	猫奥	山村東		293	連載		 
WMRG202401	2024年 No.01	18	二階堂地獄ゴルフ	福本伸行		299	連載		 
WMRG202401	2024年 No.01	19	サラリーマンZ	石田点		323	連載		 
WMRG202401	2024年 No.01	20	惑わない星	石川雅之		343	連載		 
WMRG202401	2024年 No.01	21	ツイステッド・シスターズ	山下和美		361	連載		 
WMRG202401	2024年 No.01	22	脳梁ドッグファイト	常盤魚		377	連載		 
WMRG202401	2024年 No.01	23	クッキングパパ	うえやまとち		415	連載		 
WMRG202402-03	2024年 No.02・03合併号	1	ふたりソロキャンプ	出端祐大		3	連載	C	新連載 イブニングより移籍
WMRG202402-03	2024年 No.02・03合併号	2	GIANT KILLING	ツジトモ		43	連載		 
WMRG202402-03	2024年 No.02・03合併号	3	平和の国の島崎へ	瀬下猛		63	連載		 
WMRG202402-03	2024年 No.02・03合併号	4	箱庭モンスター 〜少女漫画家、ときどき紙袋〜	稚野鳥子		81	連載		 
WMRG202402-03	2024年 No.02・03合併号	5	リエゾン〜こどものこころ診療所〜	ヨンチャン		103	連載		 
WMRG202402-03	2024年 No.02・03合併号	6	社外取締役 島耕作	弘兼憲史		123	連載		 
WMRG202402-03	2024年 No.02・03合併号	7	マタギガンナー	Juan Albarran		139	連載		 
WMRG202402-03	2024年 No.02・03合併号	8	だんドーン	泰三子		159	連載		 
WMRG202402-03	2024年 No.02・03合併号	9	神の雫 deuxieme	オキモト・シュウ		179	連載		 
WMRG202402-03	2024年 No.02・03合併号	10	望郷太郎	山田芳裕		199	連載		 
WMRG202402-03	2024年 No.02・03合併号	11	とりぱん	とりのなん子		219	連載		 
WMRG202402-03	2024年 No.02・03合併号	12	マンガ サ道～マンガで読むサウナ道～	タナカカツキ		223	連載		 
WMRG202402-03	2024年 No.02・03合併号	13	ボールパークでつかまえて！	須賀達郎		247	連載		 
WMRG202402-03	2024年 No.02・03合併号	14	アンメット—ある脳外科医の日記—	大月閑人		259	連載		 
WMRG202402-03	2024年 No.02・03合併号	15	焼いてるふたり	ハナツカシオリ		279	連載		 
WMRG202402-03	2024年 No.02・03合併号	16	二階堂地獄ゴルフ	福本伸行		297	連載		 
WMRG202402-03	2024年 No.02・03合併号	17	8月31日のロングサマー	伊藤一角		319	連載		 
WMRG202402-03	2024年 No.02・03合併号	18	逢いたくて島耕作	諏訪符馬		339	連載		 
WMRG202402-03	2024年 No.02・03合併号	19	イクサガミ	立沢克美		357	連載		 
WMRG202402-03	2024年 No.02・03合併号	20	猫奥	山村東		375	連載		 
WMRG202402-03	2024年 No.02・03合併号	21	聖☆おにいさん	中村光		383	出張掲載		 モーニング・ツーより
WMRG202402-03	2024年 No.02・03合併号	22	BATMAN JUSTICE BUSTER	清水栄一 & 下口知裕		399	連載		 
WMRG202402-03	2024年 No.02・03合併号	23	ツイステッド・シスターズ	山下和美		415	連載		 
WMRG202402-03	2024年 No.02・03合併号	24	楽屋のトナくん	矢部太郎		429	連載		 
