年	号数	掲載順	タイトル	作者	原作者	頁	区分	カラー	備考
2022 	01	1 	月曜日のたわわ	比村奇石		12	連載	C	
2022 	01	2 	ザ・ファブル The Second Contact	南勝久		23	連載		
2022 	01	3 	ツワモノガタリ	細川忠孝		41	連載		
2022 	01	4 	君が獣になる前に	さの隆		63	連載		
2022 	01	5 	満州アヘンスクワッド	鹿子	門馬司	83	連載		
2022 	01	6 	カイジ	福本伸行		105	連載		
2022 	01	7 	1日外出録ハンチョウ	上原求・新井和也	萩原天晴	129	連載		
2022 	01	8 	ケンシロウによろしく	ジャスミン・ギュ		147	連載		
2022 	01	9 	DEMONS STAR	ミクニシン	阿部秀司	161	連載		
2022 	01	10 	ギャルせん	植野メグル		181	連載		
2022 	01	11 	セブン☆スターJT	柳内大樹		197	連載		
2022 	01	12 	GTO パラダイスロスト	藤沢とおる		219	連載		
2022 	01	13 	双生遊戯	岡田淳司		234	連載	C	
2022 	01	14 	虎鶫 とらつぐみ-TSUGUMI PROJECT-	ippatu		255	連載		
2022 	01	15 	サタノファニ	山田恵庸		277	連載		
2022 	01	16 	みなみけ	桜場コハル		297	連載		
2022 	01	17 	何度、時をくりかえしても本能寺が燃えるんじゃが！？	藤本ケンシ	井出圭亮 	305	連載		
2022 	01	18 	ムムリン	佐々木順一郎	岩井勇気	325	連載		
2022 	01	19 	犬と屑	朝賀庵		339	連載		
2022 	01	20 	センゴク権兵衛	宮下英樹		357	連載		
2022 	01	21 	パラレルパラダイス	岡本倫		377	連載		
2022 	01	22 	アルキメデスの大戦	三田紀房		395	連載		
2022 	01	23 	彼岸島 48日後…	松本光司		415	連載		
2022 	01	24 	ギャルと恐竜	トミムラコタ	森もり子	435	連載		
2022 	02-03	1 	税金で買った本	系山冏	ずいの	13	連載	C	新連載
2022 	02-03	2 	ザ・ファブル The Second Contact	南勝久		39	連載		
2022 	02-03	3 	ツワモノガタリ	細川忠孝		57	連載		
2022 	02-03	4 	アルキメデスの大戦	三田紀房		75	連載		
2022 	02-03	5 	MFゴースト	しげの秀一		95	連載		
2022 	02-03	6 	パリピ孔明	小川亮	四葉タト	111	連載		
2022 	02-03	7 	サタノファニ	山田恵庸		129	連載		
2022 	02-03	8 	月曜日のたわわ	比村奇石		149	連載		
2022 	02-03	9 	君が獣になる前に	さの隆		163	連載		
2022 	02-03	10 	ギャルせん	植野メグル		183	連載		
2022 	02-03	11 	パラレルパラダイス	岡本倫		202	連載	C	
