ID	掲載号	掲載順	タイトル	作者	原作	ページ	種別	カラー	摘要
WYMG202401	2024年 No.01	1	だれでも抱けるキミが好き	武田スーパー		12	連載	C	 
WYMG202401	2024年 No.01	2	マイホームヒーロー	朝基まさし		31	連載		 
WYMG202401	2024年 No.01	3	ねずみの初恋	大瀬戸陸		51	連載		 
WYMG202401	2024年 No.01	4	ゴールデンドロップ	上月亮		71	連載		 
WYMG202401	2024年 No.01	5	彼岸島 48日後…	松本光司		89	連載		 
WYMG202401	2024年 No.01	6	月曜日のたわわ	比村奇石		112	連載	C	 
WYMG202401	2024年 No.01	7	ナリキンフットボール	明石英之		125	連載		 
WYMG202401	2024年 No.01	8	パラレルパラダイス	岡本倫		143	連載		 
WYMG202401	2024年 No.01	9	MFゴースト	しげの秀一		161	連載		 
WYMG202401	2024年 No.01	10	1日外出録ハンチョウ	上原求 & 新井和也		177	連載		 
WYMG202401	2024年 No.01	11	サツドウ	なだいにし		195	連載		 
WYMG202401	2024年 No.01	12	グラ・ディミオス	五褒美		215	連載		 
WYMG202401	2024年 No.01	13	スキャンダラ	かろちー		237	連載		 
WYMG202401	2024年 No.01	14	何度、時をくりかえしても本能寺が燃えるんじゃが！？	藤本ケンシ		257	連載		 
WYMG202401	2024年 No.01	15	みょーちゃん先生はかく語りき	無敵ソーダ		277	連載		 
WYMG202401	2024年 No.01	16	LILI-MEN	渡嘉敷拓馬		291	連載		 
WYMG202401	2024年 No.01	17	キョンシー怪譚 BLOOD	杪夏		311	連載		 
WYMG202401	2024年 No.01	18	ザ・ヒステリックトリガー	加納万太郎		329	連載		 
WYMG202401	2024年 No.01	19	みなみけ	桜場コハル		349	連載		 
WYMG202401	2024年 No.01	20	雨と君と	二階堂幸		360	連載	C	 
WYMG202401	2024年 No.01	21	ヤニねこ	にゃんにゃんファクトリー		381	連載		 
WYMG202401	2024年 No.01	22	王の病室	中西淳		385	連載		 
WYMG202401	2024年 No.01	23	Retuuurn!!	西尾光留		409	読み切り		 第89回ちばてつや賞ヤング部門大賞受賞作
WYMG202401	2024年 No.01	24	ノーチラス	矢木直樹		443	読み切り		 
WYMG202402-03	2024年 No.02・03合併号	1	ONE FOR ALL	柳内大樹		13	連載	C	 
WYMG202402-03	2024年 No.02・03合併号	2	ねずみの初恋	大瀬戸陸		73	連載		 
WYMG202402-03	2024年 No.02・03合併号	3	マイホームヒーロー	朝基まさし		97	連載		 
WYMG202402-03	2024年 No.02・03合併号	4	ヤニねこ	にゃんにゃんファクトリー		117	連載		 
WYMG202402-03	2024年 No.02・03合併号	5	だれでも抱けるキミが好き	武田スーパー		121	連載		 
WYMG202402-03	2024年 No.02・03合併号	6	ゴールデンドロップ	上月亮		139	連載		 
WYMG202402-03	2024年 No.02・03合併号	7	ナリキンフットボール	明石英之		159	連載		 
WYMG202402-03	2024年 No.02・03合併号	8	パリピ孔明	小川亮		177	連載		 
WYMG202402-03	2024年 No.02・03合併号	9	みょーちゃん先生はかく語りき	無敵ソーダ		195	連載		 
WYMG202402-03	2024年 No.02・03合併号	10	雨と君と	二階堂幸		209	連載		 
WYMG202402-03	2024年 No.02・03合併号	11	彼岸島 48日後…	松本光司		213	連載		 
WYMG202402-03	2024年 No.02・03合併号	12	スキャンダラ	かろちー		237	連載		 
WYMG202402-03	2024年 No.02・03合併号	13	満州アヘンスクワッド	鹿子		255	連載		 
WYMG202402-03	2024年 No.02・03合併号	14	何度、時をくりかえしても本能寺が燃えるんじゃが！？	藤本ケンシ		273	連載		 
WYMG202402-03	2024年 No.02・03合併号	15	パラレルパラダイス	岡本倫		293	連載		 
WYMG202402-03	2024年 No.02・03合併号	16	私のアリカ	隈屑		311	連載		 
WYMG202402-03	2024年 No.02・03合併号	17	アンダーニンジャ	花沢健吾		329	連載		 
WYMG202402-03	2024年 No.02・03合併号	18	聖くんは清く生きたい	朝賀庵		351	連載		 
WYMG202402-03	2024年 No.02・03合併号	19	グラ・ディミオス	五褒美		367	連載		 
WYMG202402-03	2024年 No.02・03合併号	20	ザ・ヒステリックトリガー	加納万太郎		385	連載		 
WYMG202402-03	2024年 No.02・03合併号	21	キョンシー怪譚 BLOOD	杪夏		405	連載		 
WYMG202402-03	2024年 No.02・03合併号	22	王の病室	中西淳		421	連載		 
WYMG202402-03	2024年 No.02・03合併号	23	育てる三大欲求	がにき		441	読み切り		 
